Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,260,2092.53,2021-10-07 20:15:00,544057.8,1935.2600000001257
Sell,260,2086.58,2021-10-07 20:30:00,542510.7999999999,544446.06
Buy,257,2112.97,2021-10-07 22:00:00,543033.2899999999,1412.770000000135
Sell,257,2106.59,2021-10-07 22:15:00,541393.63,542806.4000000001
Buy,255,2120.36,2021-10-07 23:15:00,540691.8,2114.600000000093
Sell,255,2118.53,2021-10-07 23:30:00,540225.15,542339.7500000001
Buy,172,3140.83,2021-10-08 00:00:00,540222.76,2116.990000000107
Sell,172,3157.11,2021-10-08 00:15:00,543022.92,545139.9100000001
Buy,172,3157.11,2021-10-08 00:15:00,543022.92,2116.990000000107
Sell,172,3122.31,2021-10-08 00:30:00,537037.32,539154.31
Buy,172,3125.43,2021-10-08 00:45:00,537573.96,1580.3500000000931
Sell,172,3105.02,2021-10-08 01:00:00,534063.44,535643.79
Buy,172,3105.02,2021-10-08 01:00:00,534063.44,1580.3500000000931
Sell,172,3117.56,2021-10-08 01:15:00,536220.32,537800.67
Buy,172,3117.56,2021-10-08 01:15:00,536220.32,1580.3500000000931
Sell,172,3126.91,2021-10-08 01:30:00,537828.52,539408.8700000001
Buy,172,3126.91,2021-10-08 01:30:00,537828.52,1580.3500000000931
Sell,172,3134.25,2021-10-08 01:45:00,539091.0,540671.3500000001
Buy,172,3134.25,2021-10-08 01:45:00,539091.0,1580.3500000000931
Sell,172,3130.19,2021-10-08 02:00:00,538392.68,539973.0300000001
Buy,172,3130.19,2021-10-08 02:00:00,538392.68,1580.3500000000931
Sell,172,3137.7,2021-10-08 02:15:00,539684.4,541264.7500000001
Buy,172,3137.7,2021-10-08 02:15:00,539684.4,1580.3500000000931
Sell,172,3135.33,2021-10-08 02:30:00,539276.76,540857.1100000001
Buy,172,3135.33,2021-10-08 02:30:00,539276.76,1580.3500000000931
Sell,172,3144.55,2021-10-08 02:45:00,540862.6,542442.9500000001
Buy,172,3144.55,2021-10-08 02:45:00,540862.6,1580.3500000000931
Sell,172,3132.75,2021-10-08 03:00:00,538833.0,540413.3500000001
Buy,172,3132.75,2021-10-08 03:00:00,538833.0,1580.3500000000931
Sell,172,3120.19,2021-10-08 03:15:00,536672.68,538253.0300000001
Buy,172,3125.09,2021-10-08 03:30:00,537515.48,737.550000000163
Sell,172,3117.56,2021-10-08 03:45:00,536220.32,536957.8700000001
Buy,171,3125.65,2021-10-08 04:15:00,534486.15,2471.7200000000885
Sell,171,3107.25,2021-10-08 04:30:00,531339.75,533811.4700000001
Buy,171,3107.25,2021-10-08 04:30:00,531339.75,2471.7200000000885
Sell,171,3100.59,2021-10-08 04:45:00,530200.89,532672.6100000001
Buy,171,3114.0,2021-10-08 05:45:00,532494.0,178.61000000010245
Sell,171,3110.06,2021-10-08 06:00:00,531820.26,531998.8700000001
Buy,170,3124.11,2021-10-08 06:45:00,531098.7000000001,900.1700000000419
Sell,170,3107.4,2021-10-08 07:00:00,528258.0,529158.17
Buy,168,3144.57,2021-10-08 07:45:00,528287.76,870.4100000000326
Sell,168,3136.99,2021-10-08 08:00:00,527014.32,527884.73
Buy,166,3165.3,2021-10-08 09:00:00,525439.8,2444.929999999935
Sell,166,3148.19,2021-10-08 09:15:00,522599.54000000004,525044.47
Buy,166,3148.19,2021-10-08 09:15:00,522599.54000000004,2444.929999999935
Sell,166,3146.71,2021-10-08 09:30:00,522353.86,524798.7899999999
Buy,166,3146.82,2021-10-08 09:45:00,522372.12000000005,2426.6699999998673
Sell,166,3141.19,2021-10-08 10:00:00,521437.54000000004,523864.2099999999
Buy,166,3141.19,2021-10-08 10:00:00,521437.54000000004,2426.6699999998673
Sell,166,3128.42,2021-10-08 10:15:00,519317.72000000003,521744.3899999999
Buy,166,3128.42,2021-10-08 10:15:00,519317.72000000003,2426.6699999998673
Sell,166,3120.7,2021-10-08 10:30:00,518036.19999999995,520462.8699999998
Buy,165,3153.55,2021-10-08 11:15:00,520335.75000000006,127.11999999976251
Sell,165,3124.13,2021-10-08 11:30:00,515481.45,515608.5699999998
Buy,165,3124.13,2021-10-08 11:30:00,515481.45,127.11999999976251
Sell,165,3124.71,2021-10-08 11:45:00,515577.15,515704.2699999998
Buy,161,3183.72,2021-10-08 12:45:00,512578.92,3125.349999999802
Sell,161,3189.49,2021-10-08 13:00:00,513507.88999999996,516633.23999999976
Buy,161,3189.49,2021-10-08 13:00:00,513507.88999999996,3125.349999999802
Sell,161,3193.99,2021-10-08 13:15:00,514232.38999999996,517357.73999999976
Buy,161,3193.99,2021-10-08 13:15:00,514232.38999999996,3125.349999999802
Sell,161,3161.48,2021-10-08 13:30:00,508998.28,512123.62999999983
Buy,161,3161.48,2021-10-08 13:30:00,508998.28,3125.349999999802
Sell,161,3165.0,2021-10-08 13:45:00,509565.0,512690.3499999998
Buy,161,3169.7,2021-10-08 14:00:00,510321.69999999995,2368.6499999998487
Sell,161,3153.19,2021-10-08 14:15:00,507663.59,510032.2399999999
Buy,161,3153.19,2021-10-08 14:15:00,507663.59,2368.6499999998487
Sell,161,3134.14,2021-10-08 14:30:00,504596.54,506965.1899999998
Buy,161,3145.02,2021-10-08 15:00:00,506348.22,616.9699999998556
Sell,161,3113.38,2021-10-08 15:15:00,501254.18,501871.14999999985
Buy,160,3123.24,2021-10-08 15:45:00,499718.39999999997,2152.7499999998836
Sell,160,3111.18,2021-10-08 16:00:00,497788.8,499941.5499999999
Buy,160,3111.18,2021-10-08 16:00:00,497788.8,2152.7499999998836
Sell,160,3074.25,2021-10-08 16:15:00,491880.0,494032.7499999999
Buy,159,3098.55,2021-10-08 17:15:00,492669.45,1363.299999999872
Sell,159,3089.19,2021-10-08 17:30:00,491181.21,492544.5099999999
Buy,158,3103.62,2021-10-08 17:45:00,490371.95999999996,2172.54999999993
Sell,158,3100.99,2021-10-08 18:00:00,489956.42,492128.9699999999
Buy,158,3100.99,2021-10-08 18:00:00,489956.42,2172.54999999993
Sell,158,3101.75,2021-10-08 18:15:00,490076.5,492249.04999999993
Buy,157,3132.28,2021-10-08 19:00:00,491767.96,481.0899999999092
Sell,157,3130.05,2021-10-08 19:15:00,491417.85000000003,491898.93999999994
Buy,156,3145.97,2021-10-08 19:45:00,490771.31999999995,1127.6199999999953
Sell,156,3141.09,2021-10-08 20:00:00,490010.04000000004,491137.66000000003
Buy,155,3160.54,2021-10-08 20:45:00,489883.7,1253.960000000021
Sell,155,3158.79,2021-10-08 21:00:00,489612.45,490866.41000000003
Buy,154,3183.91,2021-10-08 21:30:00,490322.13999999996,544.2700000000768
Sell,154,3171.51,2021-10-08 21:45:00,488412.54000000004,488956.8100000001
Buy,153,3190.8,2021-10-08 22:00:00,488192.4,764.4100000000908
Sell,153,3165.46,2021-10-08 22:15:00,484315.38,485079.7900000001
Buy,153,3165.46,2021-10-08 22:15:00,484315.38,764.4100000000908
Sell,153,3162.99,2021-10-08 22:30:00,483937.47,484701.88000000006
Buy,153,3153.18,2021-10-08 22:45:00,482436.54,2265.340000000084
Sell,153,3149.85,2021-10-08 23:00:00,481927.05,484192.3900000001
Buy,153,3149.85,2021-10-08 23:00:00,481927.05,2265.340000000084
Sell,153,3125.46,2021-10-08 23:15:00,478195.38,480460.7200000001
Buy,140,3417.5,2021-10-09 00:00:00,478450.0,2010.7200000000885
Sell,140,3447.98,2021-10-09 00:15:00,482717.2,484727.9200000001
Buy,140,3447.98,2021-10-09 00:15:00,482717.2,2010.7200000000885
Sell,140,3460.27,2021-10-09 00:30:00,484437.8,486448.5200000001
Buy,140,3460.27,2021-10-09 00:30:00,484437.8,2010.7200000000885
Sell,140,3453.17,2021-10-09 00:45:00,483443.8,485454.5200000001
Buy,140,3453.17,2021-10-09 00:45:00,483443.8,2010.7200000000885
Sell,140,3459.12,2021-10-09 01:00:00,484276.8,486287.5200000001
