symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;18/08/21 19:15;3049.55;3061;3033.3;3038.27;37074.242;334
ETHUSDT;18/08/21 19:30;3038.27;3044.3;3030.56;3034.11;29446.92;334
ETHUSDT;18/08/21 19:45;3034.11;3046.49;3023;3031.88;34599.582;334
ETHUSDT;18/08/21 20:00;3031.87;3042.23;3021.55;3032.77;28244.055;334
ETHUSDT;18/08/21 20:15;3032.76;3038.86;3016.39;3025.1;27042.758;334
ETHUSDT;18/08/21 20:30;3025;3029.46;3010;3015.77;26725.068;334
ETHUSDT;18/08/21 20:45;3015.93;3015.93;3004;3007.65;25143.361;334
ETHUSDT;18/08/21 21:00;3007.7;3026.52;3000.26;3018.11;37239.59;334
ETHUSDT;18/08/21 21:15;3018.12;3019;2996.69;3011.36;25595.82;334
ETHUSDT;18/08/21 21:30;3011.37;3011.67;2996.97;3010.2;14976.755;334
ETHUSDT;18/08/21 21:45;3010.21;3020;3001.68;3003.07;24845.436;334
ETHUSDT;18/08/21 22:00;3003.07;3026.89;2998.13;3026.06;25883.252;334
ETHUSDT;18/08/21 22:15;3026.22;3035;3017.1;3032.49;35040.08;334
ETHUSDT;18/08/21 22:30;3032.48;3032.73;3022.26;3030.44;15643.465;334
ETHUSDT;18/08/21 22:45;3030.43;3043.42;3023.5;3038.89;15618.019;334
ETHUSDT;18/08/21 23:00;3038.9;3051.17;3036.06;3048.43;19430.729;334
ETHUSDT;18/08/21 23:15;3048.42;3051.8;3040.53;3051.39;11428.489;334
ETHUSDT;18/08/21 23:30;3051.4;3059.26;3042.06;3042.72;19485.69;334
ETHUSDT;18/08/21 23:45;3042.5;3048;3008.3;3014.25;38537.195;334
ETHUSDT;19/08/21 0:00;3014.31;3040.05;3011;3012.34;41079.207;334
ETHUSDT;19/08/21 0:15;3012.34;3033.5;2997.42;3016.47;62292.54;334
ETHUSDT;19/08/21 0:30;3016.47;3028.37;3005.56;3026.94;30576.416;334
ETHUSDT;19/08/21 0:45;3027.04;3049.54;3024.33;3044.39;29615.4;334
ETHUSDT;19/08/21 1:00;3044.38;3044.98;3026.41;3042.31;25459.582;334
ETHUSDT;19/08/21 1:15;3042.32;3042.69;3031.6;3040.99;18791.654;334
ETHUSDT;19/08/21 1:30;3040.99;3054.2;3039.07;3048.8;19582.26;334
ETHUSDT;19/08/21 1:45;3048.8;3049.81;3026.9;3028.08;17768.188;334
ETHUSDT;19/08/21 2:00;3028.09;3028.09;3012;3015.15;31058.879;334
ETHUSDT;19/08/21 2:15;3015.35;3021;3006.01;3011.93;23764.75;334
ETHUSDT;19/08/21 2:30;3011.93;3024.15;3007.2;3011.42;15784.137;334
ETHUSDT;19/08/21 2:45;3011.42;3018.85;3007.64;3007.89;12499.442;334
ETHUSDT;19/08/21 3:00;3007.9;3008.52;2973.93;2983.08;76262.375;334
ETHUSDT;19/08/21 3:15;2982.92;2992.3;2971.01;2971.76;34521.504;334
ETHUSDT;19/08/21 3:30;2971.76;2993.77;2970.49;2980.91;31512.756;334
